q1_sex	q2_age	q3_goods	q4_spend	q5_delivery	q6_paymode	q7_isCustomer	q8_lastSpend	q9_lastDelivery	q10_fraudRisk	q11_rateValue	q11_rateDeliver	q11_rateReturn	q12_need	q13_value	q14_speed	q15_site	q16_effort	q17_effortExpected	q18_support	q19_buyAgain	q20_recommend	q_satisfaction	payMode2
2	59	2	60.25	18	2	2	67.25	14	3	1	1	1	5	5	5	4	3	4	5	4	4	36	1
2	32	2	54.24	NA	2	1	64.24	14	3	2	2	1	3	4	5	4	3	4	3	3	5	30	1
2	62	2	52.84	9	1	1	66.84	16	3	2	2	1	2	3	4	3	5	2	5	4	4	30	1
1	41	1	45.89	12	2	1	50.89	10	1	1	2	2	4	4	1	4	3	2	1	2	5	24	1
1	38	NA	43.18	7	1	1	49.18	13	3	1	1	1	1	3	3	2	2	3	2	3	3	19	1
2	38	2	57.32	9	4	2	68.32	18	NA	1	2	1	5	4	5	4	3	2	4	4	2	31	NA
2	73	3	71.67	17	2	1	77.67	14	5	2	2	2	4	5	4	5	4	2	4	5	3	35	1
1	43	1	49.77	11	1	2	57.77	18	3	2	1	2	5	2	3	5	2	4	2	3	2	24	1
1	47	2	59.63	14	3	1	63.63	15	3	1	2	2	3	3	2	2	4	4	4	4	5	27	2
1	43	1	49.02	8	3	1	55.02	16	1	1	1	2	3	1	2	2	2	4	4	3	1	18	2
2	46	3	55.08	12	3	1	61.08	14	2	2	1	1	5	5	4	5	2	2	5	5	2	34	2
NA	52	3	57.77	12	2	1	70.77	18	3	1	2	2	5	3	4	4	4	2	5	3	3	32	1
2	53	1	56.09	18	3	1	70.09	13	4	1	2	1	4	2	4	3	4	1	2	4	5	28	2
1	44	2	56.72	7	1	1	61.72	11	2	1	2	2	2	2	2	2	4	3	3	3	3	21	1
1	42	2	57.87	12	4	1	67.87	10	1	1	2	1	3	2	4	3	2	3	3	4	5	26	NA
2	63	3	66.9	14	3	1	74.9	9	3	2	2	1	4	3	3	5	4	3	5	4	5	33	2
1	37	2	57.04	11	3	NA	67.04	16	4	1	2	2	2	3	2	5	4	2	4	4	5	29	2
2	70	3	70.01	9	3	2	84.01	7	5	2	2	1	5	5	5	5	3	1	4	3	5	35	2
1	29	1	50.99	17	3	1	54.99	16	1	1	2	1	5	5	2	1	3	1	3	2	2	23	2
2	43	1	53.21	16	3	2	62.21	15	5	2	2	1	5	5	3	3	3	1	4	5	4	33	2
2	67	3	69.5	9	1	2	82.5	16	3	2	2	1	5	5	4	5	5	4	5	3	4	37	1
1	37	1	49.78	13	2	1	54.78	7	2	1	2	1	2	2	3	4	5	2	1	4	3	24	1
2	61	2	59.16	7	3	1	70.16	9	3	1	2	1	2	2	2	3	3	5	4	3	5	24	2
2	58	2	59.1	18	2	1	72.1	8	3	2	2	2	3	4	5	4	4	3	4	5	4	33	1
1	55	NA	50.22	16	2	1	54.22	10	1	1	2	2	5	4	3	2	3	3	4	2	2	25	1
2	58	2	58.73	10	3	1	64.73	NA	4	NA	2	2	4	4	2	2	2	1	3	3	5	25	2
